ID	Movement	dDay	DayInYear	BearID	Repro	Year	Den	Avail	MainHabitat	Month	Season
1	0.794280092	98	98	7729	0	1988	0	0.781	5	4	2
2	68.0512686	118	118	7729	0	1988	0	0.5936	4	4	2
3	2.571330042	129	129	7729	0	1988	0	0.7536	5	5	2
4	143.6865217	135	135	7729	0	1988	0	0.7536	5	5	2
5	51.07088329	410	44	7729	1	1989	0	0.9915	4	2	1
6	38.85235947	468	102	7736	2	1989	0	0.76	4	4	2
7	27.40055318	528	162	7736	2	1989	0	0.3333	5	6	2
8	115.2539409	543	177	7736	2	1989	0	0.6728	5	6	2
9	67.57014382	549	183	7736	2	1989	0	0.7188	4	7	3
10	61.54537591	555	189	7736	2	1989	0	0.8046	4	7	3
11	117.8251607	564	198	7736	2	1989	0	0.9206	4	7	3
12	58.05570145	828	97	7736	2	1990	1	0.4546	5	4	2
38	69.81222593	450	84	7738	1	1989	0	0.4341	5	3	1
39	74.83590979	456	90	7738	1	1989	0	0.7421	4	4	2
40	21.59221458	462	96	7738	1	1989	0	0.6481	4	4	2
41	45.22215627	471	105	7738	1	1989	0	0.4928	3	4	2
42	50.15798099	540	174	7738	1	1989	0	0.4168	5	6	2
43	30.07286234	576	210	7738	1	1989	0	0.4039	1	7	3
44	169.6875262	582	216	7738	1	1989	0	0.4999	5	8	3
45	89.91380493	717	351	7738	1	1989	0	0.9112	4	12	4
46	135.8863202	723	357	7738	1	1989	0	0.4347	3	12	4
47	78.47501675	729	363	7738	1	1989	0	0.8911	4	12	4
48	94.30053392	753	22	7738	2	1990	1	0.7929	4	1	1
49	40.98582335	768	37	7738	2	1990	1	0.7291	4	2	1
50	80.31962324	774	43	7738	2	1990	1	0.5312	4	2	1
51	17.70428331	780	49	7738	2	1990	1	0.5358	4	2	1
52	15.18890043	786	55	7738	2	1990	1	0.5057	4	2	1
53	26.37658797	816	85	7738	2	1990	1	0.3126	3	3	1
54	10.5087867	822	91	7738	2	1990	1	0.4341	5	4	2
55	70.38557555	831	100	7738	2	1990	1	0.4341	5	4	2
56	102.8389706	452	86	7741	2	1989	1	0.527	5	3	1
57	62.0897392	467	101	7741	2	1989	1	0.8746	4	4	2
58	116.1848748	473	107	7741	2	1989	1	0.8177	4	4	2
59	68.07003929	479	113	7741	2	1989	1	0.7337	4	4	2
60	36.13503046	500	134	7741	2	1989	1	0.6886	4	5	2
61	99.40406442	518	152	7741	2	1989	1	0.6769	6	6	2
62	91.0134133	524	158	7741	2	1989	1	0.5218	5	6	2
63	10.73150364	530	164	7741	2	1989	1	0.3905	3	6	2
64	39.78519376	548	182	7741	2	1989	1	0.4929	3	7	3
65	39.94369404	554	188	7741	2	1989	1	0.3411	2	7	3
66	23.55879906	560	194	7741	2	1989	1	0.533	2	7	3
67	21.60948026	566	200	7741	2	1989	1	0.7818	2	7	3
68	67.21475571	572	206	7741	2	1989	1	0.3591	3	7	3
69	42.87643485	596	230	7741	2	1989	1	0.7167	3	8	3
70	9.431255754	647	281	7741	2	1989	1	0.9288	4	10	4
71	108.9962698	683	317	7741	2	1989	1	0.5731	5	11	4
72	13.40253337	701	335	7741	2	1989	1	0.4048	2	12	4
73	114.3267644	707	341	7741	2	1989	1	0.5004	4	12	4
74	23.68047794	716	350	7741	2	1989	1	0.4034	2	12	4
75	37.09761594	722	356	7741	2	1989	1	0.4753	5	12	4
244	62.7498999	1201	105	7786	2	1991	0	0.3471	5	4	2
245	20.95321683	1207	111	7786	2	1991	0	0.3321	5	4	2
246	114.4259818	1213	117	7786	2	1991	0	0.3321	5	4	2
247	177.1312798	1231	135	7786	2	1991	0	0.3341	2	5	2
248	38.43774562	1237	141	7786	2	1991	0	0.5846	4	5	2
249	59.94956977	1267	171	7786	2	1991	0	0.3424	4	6	2
250	102.8833593	1285	189	7786	2	1991	0	0.6337	1	7	3
251	37.33118307	1291	195	7786	2	1991	0	0.41	2	7	3
252	164.4178574	1411	315	7786	2	1991	0	0.904	4	11	4
253	169.2735765	1417	321	7786	2	1991	0	0.9477	4	11	4
254	69.3258776	1423	327	7786	2	1991	0	0.719	4	11	4
255	137.985625	1429	333	7786	2	1991	0	0.6783	1	11	4
256	147.033891	1435	339	7786	2	1991	0	0.5473	4	12	4
257	128.7458747	1444	348	7786	2	1991	0	0.7281	1	12	4
258	195.9888225	1450	354	7786	2	1991	0	0.9137	4	12	4
259	243.6305035	1456	360	7786	2	1991	0	0.4814	2	12	4
260	177.4144116	1462	1	7786	2	1992	1	0.4033	1	1	1
261	139.8440178	1468	7	7786	2	1992	1	0.3792	1	1	1
262	39.52312839	1486	25	7786	2	1992	1	0.8068	4	1	1
263	128.5494357	1492	31	7786	2	1992	1	0.8531	4	2	1
264	39.5944235	1558	97	7786	2	1992	1	0.5303	4	4	2
265	95.36562376	1564	103	7786	2	1992	1	0.4459	4	4	2
266	59.76433808	1588	127	7786	2	1992	1	0.4091	4	5	2
267	118.7757075	1594	133	7786	2	1992	1	0.3634	3	5	2
268	115.9945225	1605	144	7786	2	1992	1	0.6425	4	5	2
269	62.83236462	1629	168	7786	2	1992	1	0.5511	4	6	2
270	66.49329821	1635	174	7786	2	1992	1	0.5059	4	6	2
271	16.57746088	1653	192	7786	2	1992	1	0.4272	1	7	3
272	27.55036328	1659	198	7786	2	1992	1	0.5232	2	7	3
273	107.3514138	1677	216	7786	2	1992	1	0.3438	2	8	3
449	23.69543667	1216	120	7791	2	1991	0	0.4883	5	5	2
450	34.63587219	1222	126	7791	2	1991	0	0.7262	3	5	2
451	45.14749607	1228	132	7791	2	1991	0	0.4083	4	5	2
452	29.53136585	1234	138	7791	2	1991	0	0.3924	3	5	2
453	27.40607456	1252	156	7791	2	1991	0	0.3852	2	6	2
454	109.3689211	1258	162	7791	2	1991	0	0.3718	3	6	2
455	98.03781797	1264	168	7791	2	1991	0	0.6163	5	6	2
456	40.87799392	1270	174	7791	2	1991	0	0.6983	3	6	2
457	5.363014001	1276	180	7791	2	1991	0	0.5796	3	6	2
458	35.91356523	1306	210	7791	2	1991	0	0.3796	2	7	3
459	4.790892291	1354	258	7791	2	1991	0	0.6639	2	9	3
460	47.27100185	1372	276	7791	2	1991	0	0.5687	2	10	4
461	11.891869	1513	52	7791	2	1992	0	0.7177	5	2	1
462	7.92212497	1519	58	7791	2	1992	0	0.5351	5	2	1
463	71.73882881	1573	112	7791	2	1992	0	0.7233	4	4	2
464	14.68263534	1579	118	7791	2	1992	0	0.4846	4	4	2
465	17.44370843	1585	124	7791	2	1992	0	0.4373	5	5	2
466	99.08596272	1591	130	7791	2	1992	0	0.7014	5	5	2
467	116.3302333	1597	136	7791	2	1992	0	0.7112	4	5	2
468	78.03390957	1603	142	7791	2	1992	0	0.3666	4	5	2
469	12.78137392	1621	160	7791	2	1992	0	0.4944	4	6	2
470	29.60135273	1627	166	7791	2	1992	0	0.4337	5	6	2
471	22.42621296	1633	172	7791	2	1992	0	0.3634	3	6	2
472	24.9656765	1663	202	7791	2	1992	0	0.49	3	7	3
473	44.22095795	1669	208	7791	2	1992	0	0.6058	2	7	3
474	60.25107411	1687	226	7791	2	1992	0	0.4974	2	8	3
475	16.09442301	1693	232	7791	2	1992	0	0.8572	2	8	3
476	12.99788512	1699	238	7791	2	1992	0	0.8427	2	8	3
477	4.06589749	1744	283	7791	2	1992	0	0.4337	5	10	4
478	13.28414446	1786	325	7791	2	1992	0	0.5351	5	11	4
479	52.08021023	1963	136	7791	2	1993	1	0.5222	4	5	2
480	14.21579831	1969	142	7791	2	1993	1	0.4912	4	5	2
481	23.06517711	1975	148	7791	2	1993	1	0.5351	5	5	2
482	81.98227864	1981	154	7791	2	1993	1	0.5351	5	6	2
483	12.91527114	1987	160	7791	2	1993	1	0.7014	5	6	2
484	32.52272217	1993	166	7791	2	1993	1	0.4988	3	6	2
485	1.331032758	1999	172	7791	2	1993	1	0.6163	5	6	2
486	50.42263743	2005	178	7791	2	1993	1	0.6163	5	6	2
487	36.22280538	2011	184	7791	2	1993	1	0.6472	5	7	3
488	106.6617771	2017	190	7791	2	1993	1	0.6371	5	7	3
